avr_ref_time,avr_data_time,avr_tref,dof,Ktest,z_chi2,N_0,N0,NS,M,lam,ratio
0.53,0.75,39.62,39.413175201983776,0.036661635608688126,1.64,1500,400,7,150,1e-08,0.016666666666666666
0.5,0.62,47.37,46.98062741398204,0.03814983940737893,1.93,1500,600,10,150,1e-08,0.016666666666666666
0.49,0.67,54.18,53.9040173700396,0.04561741081280546,2.26,1500,800,13,150,1e-08,0.016666666666666666
0.49,0.67,60.84,60.329835501221595,0.05297006156302046,2.71,1500,1000,17,150,1e-08,0.016666666666666666
0.52,0.67,67.31,66.57764930114902,0.04616378949559487,2.96,1500,1200,20,150,1e-08,0.016666666666666666
0.46,0.52,39.62,39.413175201983776,0.036661635608688126,0.71,1500,400,3,150,1e-08,0.008333333333333333
0.47,0.54,47.37,46.98062741398204,0.03814983940737893,1.03,1500,600,5,150,1e-08,0.008333333333333333
0.49,0.58,54.18,53.9040173700396,0.04561741081280546,1.09,1500,800,7,150,1e-08,0.008333333333333333
0.49,0.61,60.84,60.329835501221595,0.05297006156302046,1.35,1500,1000,8,150,1e-08,0.008333333333333333
0.51,0.64,67.31,66.57764930114902,0.04616378949559487,1.47,1500,1200,10,150,1e-08,0.008333333333333333
0.46,0.65,39.62,39.413175201983776,0.036661635608688126,2.07,1500,400,10,150,1e-08,0.025
0.48,0.63,47.37,46.98062741398204,0.03814983940737893,2.91,1500,600,15,150,1e-08,0.025
0.49,0.65,54.18,53.9040173700396,0.04561741081280546,3.21,1500,800,20,150,1e-08,0.025
0.48,0.71,60.84,60.329835501221595,0.05297006156302046,3.87,1500,1000,25,150,1e-08,0.025
0.51,0.72,67.31,66.57764930114902,0.04616378949559487,4.48,1500,1200,30,150,1e-08,0.025
