avr_ref_time,avr_tref,dof,Ktest,N_0,N0,M,lam
0.29,14.99,14.831505274679365,0.026940516974758966,1500,800,20,0.0001
0.34,28.41,28.04136245550849,0.058353336778061315,1500,800,20,1e-06
0.39,32.71,32.26933384053995,0.06765106533135412,1500,800,20,1e-08
0.45,32.78,32.4396988408481,0.06462585176307323,1500,800,20,1e-09
0.55,32.79,32.536732883183184,0.06419360151263298,1500,800,20,1e-10
0.23,15.71,15.50899529229458,0.02250363342887074,1500,800,50,0.0001
0.29,33.53,33.139913877762496,0.043544889604174686,1500,800,50,1e-06
0.56,50.88,50.62404520138965,0.049272751143723564,1500,800,50,1e-08
0.76,57.57,56.968809325480805,0.06089089687834959,1500,800,50,1e-09
0.77,62.04,61.54543622371561,0.05637686876250203,1500,800,50,1e-10
0.22,15.88,15.720718333931899,0.02316445852530924,1500,800,100,0.0001
0.28,34.17,33.78162244390233,0.04340983462434744,1500,800,100,1e-06
0.53,53.45,52.981508405544794,0.04467899722070723,1500,800,100,1e-08
0.76,62.05,61.92107404105507,0.04551093185682864,1500,800,100,1e-09
0.8,69.11,68.87331261990983,0.05584730193515908,1500,800,100,1e-10
0.22,16.06,15.931513384194712,0.026134632463647778,1500,800,300,0.0001
0.28,34.64,34.19043923391819,0.040180699949542764,1500,800,300,1e-06
0.52,54.96,54.61233100108706,0.04409058437086388,1500,800,300,1e-08
0.81,65.17,64.90507179717258,0.05739580750203799,1500,800,300,1e-09
0.92,74.59,74.32185790513464,0.049998844692742184,1500,800,300,1e-10
0.25,16.15,16.037906560324508,0.028597736829085063,1500,800,600,0.0001
0.31,34.85,34.452292615882904,0.03900800234760016,1500,800,600,1e-06
0.57,55.4,55.03241461505577,0.04431805956562895,1500,800,600,1e-08
0.91,65.94,65.75912250499007,0.060731991236285365,1500,800,600,1e-09
1.15,76.11,75.85255383513007,0.04480047107520224,1500,800,600,1e-10
