md_tref,md_tdata,max_zemp,zemp,dof,z_chi2,N_0,N0,M,NS
44.48,50.27,2.33,0.61,44.079789278021366,0.7,1000,600,300,2
44.48,51.52,2.58,0.67,44.079789278021366,0.82,1000,600,300,5
44.48,56.58,2.71,1.13,44.079789278021366,1.29,1000,600,300,10
44.49,53.93,2.81,0.91,44.0948447835253,1.05,1000,600,500,2
44.49,55.06,2.88,0.95,44.0948447835253,1.15,1000,600,500,5
44.49,56.81,2.94,1.15,44.0948447835253,1.31,1000,600,500,10
45.2,57.82,2.98,0.9,45.70144530305688,1.24,1000,1000,300,2
47.6,59.27,3.02,0.77,47.799621178307426,1.16,1000,1000,300,5
48.97,61.37,3.06,0.81,49.269179919062076,1.2,1000,1000,300,10
49.32,61.68,3.09,0.74,50.523317861590925,1.1,1000,1000,500,2
49.67,62.69,3.12,0.74,51.47154000272701,1.1,1000,1000,500,5
50.49,64.38,3.14,0.8,52.192104754273075,1.17,1000,1000,500,10
51.11,64.38,3.17,0.76,52.80944417168946,1.12,1000,1000,800,2
52.03,64.98,3.19,0.75,53.33328004684234,1.12,1000,1000,800,5
52.79,66.07,3.21,0.78,53.79415817980847,1.17,1000,1000,800,10
50.99,64.58,3.23,0.74,52.59097279350122,1.15,2000,600,300,2
49.79,62.72,3.24,0.68,51.38822868850613,1.11,2000,600,300,5
49.32,62.08,3.26,0.67,50.32278718908738,1.16,2000,600,300,10
49.15,60.81,3.28,0.63,49.34681485317469,1.14,2000,600,500,2
47.82,59.47,3.29,0.55,48.31860496708109,1.12,2000,600,500,5
46.37,58.97,3.3,0.58,47.46693455243297,1.16,2000,600,500,10
46.14,58.15,3.32,0.58,47.24189164330365,1.11,2000,1000,300,2
45.78,57.8,3.33,0.59,47.07644841802491,1.1,2000,1000,300,5
45.46,57.87,3.34,0.61,46.96324041611105,1.12,2000,1000,300,10
45.16,57.16,3.35,0.61,46.76340172943459,1.07,2000,1000,500,2
45.13,56.92,3.36,0.63,46.627279262316705,1.06,2000,1000,500,5
44.95,57.16,3.37,0.65,46.55186482214628,1.09,2000,1000,500,10
44.86,56.74,3.38,0.66,46.46274679698675,1.06,2000,1000,800,2
44.68,56.47,3.39,0.66,46.284150514916504,1.06,2000,1000,800,5
44.63,56.79,3.4,0.7,46.23098014667063,1.09,2000,1000,800,10
44.36,56.13,3.41,0.68,45.657802623168934,1.09,3000,600,300,2
43.47,55.49,3.42,0.67,45.073235056292496,1.09,3000,600,300,5
43.01,55.24,3.43,0.69,44.50718514015743,1.13,3000,600,300,10
42.45,54.39,3.44,0.7,44.04970191273641,1.1,3000,600,500,2
42.1,53.87,3.44,0.7,43.60148240167227,1.09,3000,600,500,5
41.74,53.7,3.45,0.7,43.141448304477635,1.13,3000,600,500,10
41.48,53.24,3.46,0.69,42.981283839425096,1.1,3000,1000,300,2
41.43,53.07,3.47,0.7,42.73387566363925,1.11,3000,1000,300,5
41.35,53.18,3.47,0.72,42.64523731650247,1.13,3000,1000,300,10
41.2,52.76,3.48,0.72,42.401766634118495,1.12,3000,1000,500,2
41.14,52.66,3.49,0.72,42.33859441835884,1.11,3000,1000,500,5
40.77,52.74,3.49,0.74,42.16628947382968,1.14,3000,1000,500,10
40.44,52.46,3.5,0.75,42.039644099654794,1.13,3000,1000,800,2
40.33,52.39,3.51,0.76,41.83279165672115,1.14,3000,1000,800,5
40.28,52.5,3.51,0.77,41.684662365474665,1.17,3000,1000,800,10
